Departamento,Cantidad_Total,Complejidad,Diferencia
Bogotá D.C,29538816,47060480,38376106.666666664
Antioquia,22466560,32273408,23589034.666666664
Valle del cauca,17744896,29279232,20594858.666666664
Atlántico,15249920,24498688,15814314.666666666
Vaupés,51712,64000,8620373.333333334
Guainía,84992,91648,8592725.333333334
Vichada,204800,229376,8454997.333333334
Guaviare,270848,314368,8370005.333333334
Amazonas,368128,391168,8293205.333333334
San Andrés y Providencia,278528,407040,8277333.333333334
Arauca,807936,1060352,7624021.333333334
Putumayo,1128448,1461248,7223125.333333334
Casanare,1393152,1936896,6747477.333333334
Caquetá,1554944,2074624,6609749.333333334
Chocó,1736704,2117632,6566741.333333334
Santander,9722368,14935552,6251178.666666666
Quindío,2649600,3544064,5140309.333333334
Bolívar,8620544,12934144,4249770.666666666
La Guajira,3266560,4918784,3765589.333333334
Cauca,3642880,5494784,3189589.333333334
Boyacá,3719168,5510656,3173717.333333334
Risaralda,3875840,5639680,3044693.333333334
Meta,4406784,6098944,2585429.333333334
Cesar,7071232,10880000,2195626.666666666
Caldas,4507648,6500864,2183509.333333334
Huila,4050432,6579200,2105173.333333334
Córdoba,6598656,10603008,1918634.666666666
Norte de Santander,4980224,7669760,1014613.333333334
Cundinamarca,6678528,9666048,981674.666666666
Sucre,5024256,7706624,977749.333333334
Tolima,5137408,8067072,617301.333333334
Nariño,5653504,8083456,600917.333333334
Magdalena,6156800,8491520,192853.33333333395
