Departamento,Total_Capacidad
Bogotá D.C,29538816
Antioquia,22466560
Valle del cauca,17744896
Atlántico,15249920
Santander,9722368
Bolívar,8620544
Cesar,7071232
Cundinamarca,6678528
Córdoba,6598656
Magdalena,6156800
Nariño,5653504
Tolima,5137408
Sucre,5024256
Norte de Santander,4980224
Caldas,4507648
Meta,4406784
Huila,4050432
Risaralda,3875840
Boyacá,3719168
Cauca,3642880
La Guajira,3266560
Quindío,2649600
Chocó,1736704
Caquetá,1554944
Casanare,1393152
Putumayo,1128448
Arauca,807936
Amazonas,368128
San Andrés y Providencia,278528
Guaviare,270848
Vichada,204800
Guainía,84992
Vaupés,51712
